"last_name, first_name","player_id","year","player_age","pa","k_percent","bb_percent","batting_avg","on_base_percent","on_base_plus_slg","b_gnd_into_dp","xba","woba","xwoba","avg_swing_speed","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","poorlyweak_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","hp_to_1b","sprint_speed"
"Bouchard, Sean",656248,2024,28,108,30.6,11.1,".187",".290","0.587","0",".167",".266",".258","71.1","89.8",29.5,4.9,9.8,3.3,34.4,"97.978837667","93.245498",33.7,43.4,"4.56","27.1"
"Jones, Nolan",666134,2024,26,297,30.6,12.1,".227",".321","0.641","7",".211",".287",".287","70.7","88.2",34.3,5.9,6.5,7.1,44.4,"100.556302024","94.528500893",25.6,40,"4.48","28.1"
"DeJong, Paul",657557,2024,30,482,32.4,4.8,".227",".276","0.703","9",".218",".302",".291","72","87.8",36.4,10.2,8.5,6.1,41.5,"99.999893878","94.174456531",34.9,58,"4.59","26.8"
"Madrigal, Nick",663611,2024,27,94,10.6,4.3,".221",".280","0.536","2",".243",".245",".270","65.4","85.1",27.3,0,0,7.8,18.2,"94.487136053","91.287135867",11.2,50,"4.34","27.5"
"Rodríguez, Julio",677594,2024,23,613,25.4,6.2,".273",".325","0.734","10",".275",".321",".344","76.3","91.7",33.2,10.2,6.1,2.7,48.4,"103.553687536","96.325344116",30.9,54.3,"4.28","29.6"
"Jimenez, Leo",677870,2024,23,210,28.1,5.7,".229",".329","0.687","6",".228",".308",".311","69.7","87.6",40.7,8.1,7.3,6.5,33.3,"97.300784098","92.763416942",27,46.3,"4.46","28.0"
"Fry, David",681807,2024,28,392,21.4,10.7,".263",".356","0.804","13",".246",".347",".326","70.5","88.3",36.9,7.5,6.3,3.5,37.6,"99.146678031","93.715471417",24.8,49.2,"4.77","26.2"
"Carpenter, Kerry",681481,2024,26,296,25.3,7.4,".284",".345","0.932","5",".265",".390",".379","71.6","90.5",40.1,17.7,5.7,3.1,46.4,"100.928032292","94.944129215",30.3,50.5,"4.33","27.7"
"Kavadas, Niko",694359,2024,25,106,38.7,10.4,".183",".283","0.616","0",".185",".278",".292","70.5","91.7",42.3,11.5,7.7,1.9,40.4,"100.778566538","94.892744038",34.1,39.1,,"26.0"
"Cook, Billy",695257,2024,25,49,38.8,0,".224",".224","0.673","0",".228",".285",".281","72.3","92.6",46.7,13.3,10,0,50,"103.083018667","96.026198667",39.8,58.7,,"29.3"
"Bliss, Ryan",669208,2024,24,71,31,7,".222",".290","0.687","1",".217",".300",".310","70.6","88.5",37.2,9.3,16.3,14,46.5,"100.3123185","94.910871282",32.8,51.7,,"28.5"
"Mateo, Jorge",622761,2024,29,208,23.1,4.8,".229",".267","0.668","3",".228",".286",".271","72.5","88.1",30.2,4,7.4,5.4,34.9,"99.943727778","94.060455208",23.1,51.7,"4.19","29.9"
"Caballero, José",676609,2024,27,483,27.5,5.6,".227",".283","0.630","6",".217",".277",".267","69.7","83.7",33.8,5.1,4.8,13.4,25.2,"96.196185563","92.133024917",28.9,50,"4.27","28.3"
"Gurriel Jr., Yuli",493329,2024,40,65,23.1,13.8,".241",".338","0.634","1",".254",".289",".316","73.8","90.3",34.1,2.4,2.4,4.9,53.7,"101.775798095","95.580734878",22.3,43.1,"4.43","26.5"
"Turner, Justin",457759,2024,39,539,17.6,10.9,".259",".354","0.737","16",".252",".327",".328","65.1","87.1",40.1,4.6,6.7,3.2,32.5,"96.702342312","92.434680753",17,45.4,"4.82","25.4"
"Cowser, Colton",681297,2024,24,561,30.7,9.3,".242",".321","0.768","9",".230",".331",".326","73.8","90.5",32.1,13.6,7.6,3.9,46.1,"101.838992303","95.374243739",30.4,44.5,"4.23","28.2"
"Gamel, Ben",592325,2024,32,99,24.2,18.2,".247",".384","0.717","0",".259",".327",".343","70.5","89.1",47.4,10.5,1.8,3.5,36.8,"99.117404286","93.916850714",34.2,38.3,,"26.9"
"Montero, Elehuris",660707,2024,25,247,22.7,8.1,".205",".267","0.571","7",".208",".254",".269","75.1","89.5",27.5,7.6,6.4,3.5,41.5,"100.877618721","94.67846193",30.3,54.1,"4.75","26.2"
"Friedl Jr., TJ",670770,2024,28,341,15.2,7.6,".226",".310","0.690","1",".228",".305",".292","70.5","86",29.9,3.2,5.6,9.6,31.5,"96.990036","92.527458326",17.9,43.4,"4.44","26.5"
"Hoerner, Nico",663538,2024,27,641,10.3,6.9,".273",".335","0.708","8",".280",".313",".313","68.2","85.7",36,1.2,2.1,4.2,27.6,"95.980926525","91.993965849",11.9,48.4,"4.32","28.4"
"Bride, Jonah",681146,2024,28,272,20.2,11,".276",".357","0.818","9",".224",".351",".297","67.9","87.1",29.9,5.4,4.3,6.5,33.7,"97.444142826","92.857149348",16.7,38.2,"4.52","26.9"
"Singleton, Jon",572138,2024,32,405,27.4,11.6,".234",".321","0.707","2",".228",".312",".310","72.1","88.7",34.8,8.9,4.5,4.5,37.2,"99.784248293","93.99841",30.1,40.7,"4.65","25.9"
"Smith, Will",669257,2024,29,544,19.3,9.4,".248",".327","0.760","8",".240",".326",".331","67.9","89.4",38.3,10.8,8.4,1.8,42,"99.318269153","93.929159392",20.9,46.2,"4.44","27.4"
"Martini, Nick",605361,2024,34,163,23.3,5.5,".212",".272","0.642","1",".214",".279",".276","69.8","87.4",32.4,7.2,1.8,7.2,34.2,"98.233857857","93.416418378",24.8,49.6,"4.49","27.4"
"Stubbs, Garrett",596117,2024,31,187,26.7,9.1,".207",".296","0.558","0",".192",".258",".246","66.6","79.7",40.9,0,4.3,15.7,9.6,"90.095995","89.651776916",24.9,49.6,"4.4","28.0"
"Yepez, Juan",660766,2024,26,249,16.9,7.2,".283",".335","0.764","9",".252",".331",".295","70.5","86.6",30.3,5.9,5.3,5.3,35.6,"98.208738602","93.111621613",22.1,50.1,"4.64","26.7"
"Lee, Jung Hoo",808982,2024,25,158,8.2,6.3,".262",".310","0.641","2",".278",".284",".319","70.6","89.1",29.1,4.5,5.2,3,41.8,"99.547595821","93.996025338",9.6,43.9,"4.15","28.4"
"Walls, Taylor",670764,2024,27,252,26.6,12.3,".183",".282","0.530","3",".184",".245",".252","67.3","86.1",29.9,3.2,5.2,3.9,24,"95.086734605","91.544710263",25,45.1,"4.35","27.8"
"Trejo, Alan",676701,2024,28,67,22.4,3,".143",".182","0.325","2",".185",".152",".208","66","86.5",26.5,2,4.1,10.2,24.5,"96.015786087","92.100694348",25.8,57.9,"4.65","26.3"
"Lewis, Royce",668904,2024,25,325,22.8,8.6,".233",".295","0.747","5",".246",".317",".320","73.3","87.1",36.3,11.2,5.4,5.8,37.7,"99.690144144","93.856491441",27,51.9,"4.44","26.6"
"Stevenson, Cal",670276,2024,27,27,14.8,11.1,".250",".333","0.708","1",".239",".314",".312","68.9","85.6",25,10,0,5,25,"95.791164","92.100612632",15.8,37.3,,"27.5"
"Stephenson, Tyler",663886,2024,27,515,22.7,9.3,".258",".338","0.782","9",".241",".339",".322","70.8","90.2",33,9.1,6.1,2,43.9,"100.320154503","94.587176774",22.7,43.2,"4.64","26.5"
"Bichette, Bo",666182,2024,26,336,19,6,".225",".277","0.599","12",".255",".264",".303","70.4","89.2",31.3,4.4,7.2,4,43.5,"100.896776504","94.778862816",22,56.4,"4.51","27.3"
"Dalbec, Bobby",666915,2024,29,93,46.2,8.6,".133",".217","0.410","1",".119",".194",".180","72.3","86",19.5,2.4,9.8,14.6,39,"98.6997445","93.55091125",41.8,47,"4.5","28.6"
"Gallo, Joey",608336,2024,30,260,39.2,12.3,".161",".277","0.613","1",".173",".276",".285","72.4","90.5",32.8,13.1,8.2,4.1,43.4,"100.325545574","94.605556281",39.6,45.3,"4.65","26.5"
"Olivares, Edward",658668,2024,28,196,18.9,8.2,".224",".291","0.624","3",".280",".276",".332","71.8","86.8",35.5,6.4,2.8,2.1,35.5,"98.508436056","93.311684681",24.2,51,"4.5","27.8"
"Smith, Dominic",642086,2024,29,307,24.8,9.1,".233",".313","0.691","7",".219",".306",".302","68.8","89.3",37.7,10.6,7,3.5,38.7,"98.769074141","93.729740505",25.3,45.3,"4.57","25.6"
"Stott, Bryson",681082,2024,26,571,16.3,9.3,".245",".315","0.671","9",".254",".296",".306","68.2","87",35.3,3.6,5.2,2.8,30.8,"97.149266143","92.631038831",17,44.1,"4.19","29.1"
"Walsh, Jared",665120,2024,30,60,35,11.7,".226",".317","0.638","2",".241",".289",".324","75","84.2",40.6,9.4,3.1,15.6,31.3,"99.623474375","93.811737188",41.3,41.6,,"26.7"
"Semien, Marcus",543760,2024,33,718,14.6,8.9,".237",".308","0.699","9",".251",".306",".313","68.3","87.4",33,6.6,4.8,4.8,35.2,"97.806210919","93.005121934",20.2,50,"4.4","28.5"
"Paredes, Isaac",670623,2024,25,641,16.4,11.9,".238",".346","0.739","17",".220",".327",".304","68.2","85",37,4.5,7.2,5.4,27.1,"95.875582928","91.952619865",17.2,44.7,"4.8","25.9"
"Garver, Mitch",641598,2024,33,430,30.9,12.3,".172",".286","0.627","9",".180",".281",".285","71.2","89.9",32.5,8.4,7.2,1.3,39.7,"99.983276271","94.254381059",30.8,38.7,"4.73","26.0"
"Wagner, Will",695238,2024,25,86,18.6,4.7,".305",".337","0.788","3",".317",".342",".360","68.9","90.6",39.4,9.1,7.6,6.1,50,"101.258526667","95.467120758",19.3,47,"4.52","26.4"
"Rodgers, Brendan",663898,2024,27,539,24.5,5.8,".267",".314","0.721","12",".248",".314",".295","71.7","89.3",33.1,5.6,7,3.2,44.1,"101.153269243","94.773964417",25.9,49.3,"4.71","26.0"
"Bleday, JJ",668709,2024,26,642,19.5,10.4,".243",".324","0.761","8",".242",".330",".319","71.7","88.5",37.1,8.3,7.1,2.7,36.2,"98.959573229","93.527316345",26.1,45.3,"4.4","27.6"
"Greene, Riley",682985,2024,23,584,26.7,11,".262",".348","0.827","2",".253",".355",".353","74.6","91.3",39.1,13.4,8.1,1.4,47.1,"102.088081676","95.54007409",26.8,44.3,"4.39","27.7"
"Scott II, Victor",687363,2024,23,155,27.1,3.9,".179",".219","0.502","0",".205",".221",".246","69.1","88.4",33.3,5.7,6.7,8.6,33.3,"98.5566202","93.434588081",26.1,50.5,"4.13","30.0"
"Wade, Tyler",642180,2024,29,156,18.6,7.1,".217",".285","0.524","0",".244",".242",".281","66.1","83.7",38.1,1.8,2.7,15.9,17.7,"93.385363922","90.890811782",20.8,44.1,"4.23","28.7"
"Lockridge, Brandon",663604,2024,27,12,33.3,0,".167",".167","0.584","0",".140",".244",".176","70.9","90.9",12.5,12.5,0,12.5,50,"101.4549","95.711045714",25,52.2,,
"Narvaez, Carlos",665966,2024,25,15,40,13.3,".231",".333","0.564","0",".263",".268",".312","73.1","99.7",28.6,0,0,0,85.7,"105.5312375","100.930614286",37.5,47.1,,
"Grichuk, Randal",545341,2024,32,279,16.5,7.2,".291",".348","0.876","5",".278",".373",".359","73.7","90.6",34.3,11,7.6,3.3,47.6,"102.436633714","95.601048095",20.4,47.3,"4.58","27.5"
"Thomas, Alek",677950,2024,24,103,16.5,6.8,".189",".245","0.603","7",".278",".262",".337","70.9","91.2",26.6,7.6,7.6,5.1,46.8,"101.335202632","95.041754868",25.1,49.2,"4.28","27.8"
"Kirk, Alejandro",672386,2024,25,386,13.2,9.1,".253",".319","0.678","11",".257",".297",".324","70.1","89.4",34.6,6.7,7,4,40.9,"99.802023893","94.269440505",15.7,46.6,"4.81","24.7"
"Busch, Michael",683737,2024,26,567,28.6,11.1,".248",".335","0.775","9",".217",".336",".319","70.3","89.9",36.4,11.2,6.5,4.1,39.9,"99.992212321","94.35127744",28.4,45.2,"4.47","27.3"
"Hernández, Teoscar",606192,2024,31,652,28.8,8.1,".272",".339","0.840","7",".250",".360",".346","73.3","90.6",33.8,14.9,7.5,3.5,46.8,"102.727395423","95.689116559",34,51.2,"4.37","28.6"
"Machado, Manny",592518,2024,31,643,19.3,7,".275",".325","0.797","25",".272",".340",".338","75.3","92.5",33.8,11,5.9,1.7,48.8,"103.370494128","96.17209183",24.4,51.6,"4.71","25.8"
"Rendon, Anthony",543685,2024,34,238,14.7,9.7,".218",".307","0.574","4",".224",".264",".286","68.3","87.9",31.4,2.3,8.6,2.9,37.1,"97.612997471","92.991806897",12.5,40.1,"4.54","26.8"
"Swanson, Dansby",621020,2024,30,593,24.3,9.1,".242",".312","0.702","7",".244",".307",".321","71.7","89.4",32.6,9.2,7.9,3.3,42.7,"100.210263655","94.404024529",28.7,48.7,"4.38","27.8"
"Thompson, Bubba",669352,2024,26,18,61.1,0,".111",".111","0.278","1",".165",".119",".188","69.9","85.7",28.6,14.3,0,0,28.6,"94.7179175","92.04236",54.5,57.1,,"29.5"
"Grandal, Yasmani",518735,2024,35,243,18.9,9.9,".228",".304","0.704","7",".246",".308",".325","70.3","91.1",31.8,9.8,6.4,2.3,42.8,"100.246108353","94.442007765",20.1,40.9,"5.08","23.2"
"Haniger, Mitch",571745,2024,33,423,29.8,9.5,".208",".286","0.620","10",".216",".277",".292","72.9","90.6",31,9,8.2,3.1,45.9,"101.021551732","95.105264331",32.3,44,"4.68","26.2"
"Benintendi, Andrew",643217,2024,29,522,18.4,7.9,".229",".289","0.685","12",".243",".298",".303","68","88",36.5,6.3,8.3,3.4,34.4,"97.17823","92.764984068",21.1,48,"4.45","26.7"
"Heim, Jonah",641680,2024,29,491,18.3,5.3,".220",".267","0.603","13",".228",".265",".277","70.2","88.5",29.9,5.9,5.9,3.8,36.4,"98.507122973","93.44020477",20.7,54.3,"4.77","25.3"
"Stallings, Jacob",607732,2024,34,281,23.1,9.6,".263",".357","0.810","10",".235",".353",".318","67.6","86.6",38.9,7.2,7.2,5.6,34.4,"97.816675843","92.986677006",29.6,45.3,"5","23.9"
"Ramírez, Harold",623912,2024,29,246,20.3,2,".261",".280","0.604","2",".236",".265",".251","71.7","87",27.5,3.2,2.1,5.3,33.9,"98.279194301","93.19999086",31.4,56.2,"4.29","28.0"
"Stowers, Kyle",669065,2024,26,209,35.4,6.2,".208",".268","0.601","2",".223",".265",".290","73.7","91",36.1,10.9,8.4,1.7,51.3,"102.156753559","95.709246525",36.1,54.5,"4.38","28.2"
"Naylor, Bo",666310,2024,24,389,31.4,7.5,".201",".264","0.614","3",".196",".269",".260","70.6","88.8",32.6,8.1,6.8,4.7,37.7,"98.72815","93.535266567",28.3,46.9,"4.52","26.6"
"Soto, Livan",670869,2024,24,16,18.8,18.8,".231",".375","0.683","0",".265",".318",".346","66.5","85.1",40,10,0,10,20,"93.906438","90.954791",13.3,45.5,,"26.2"
"Nimmo, Brandon",607043,2024,31,663,23.8,11.6,".224",".327","0.726","7",".244",".321",".335","73.3","91.9",33.7,9.1,6.5,1,47.4,"101.264982933","95.221659687",23.4,44.8,"4.27","28.0"
"Hamilton, David",666152,2024,26,317,25.2,6.9,".248",".303","0.698","1",".231",".305",".281","68.9","87",38.3,5.6,7.5,6.1,32.2,"97.714382095","92.969829904",25.6,45.9,"4.09","29.4"
"Pereda, Jhonny",640902,2024,28,40,25,0,".231",".250","0.481","2",".228",".216",".246","70.1","85.5",34.5,3.4,6.9,6.9,37.9,"97.91226","93.135710345",27.4,46.2,"5.02","24.5"
"Grossman, Robbie",543257,2024,34,245,23.7,13.9,".212",".322","0.615","8",".214",".283",".292","67.5","86.3",30.3,3.3,4.6,2,27.6,"96.108367632","92.054845855",22.7,36.3,"4.42","27.7"
"Moncada, Yoán",660162,2024,29,45,24.4,11.1,".275",".356","0.756","2",".264",".333",".314","70","90.2",37.9,0,10.3,3.4,34.5,"98.109468667","93.507849655",23.9,45.8,,"26.8"
"Santana, Carlos",467793,2024,38,594,16.7,10.9,".238",".328","0.748","11",".246",".326",".330","71.8","89.2",30.9,7.3,6.6,2.6,39.9,"99.506124387","94.004167778",23.3,43.3,"4.62","25.9"
"Driscoll, Logan",686482,2024,26,37,16.2,2.7,".171",".189","0.446","0",".229",".193",".266","69.5","86.6",26.7,6.7,0,3.3,33.3,"97.856005333","93.097933793",29.2,55.4,"4.58","25.5"
"Collins, Isaac",686555,2024,26,19,52.6,10.5,".118",".211","0.329","0",".096",".165",".159","72.7","87.2",42.9,0,0,0,28.6,"96.47114","92.840651429",40,40.2,,
"Alexander, Blaze",677942,2024,25,185,26.5,8.1,".247",".321","0.664","1",".204",".298",".258","73.1","88.5",22.9,3.4,5.9,6.8,34.7,"98.808795","93.553851293",29.6,51.5,"4.32","28.6"
"Suzuki, Seiya",673548,2024,29,585,27.4,10.8,".283",".366","0.848","6",".255",".365",".346","73","91.7",38.8,11.5,10.1,0.8,49.2,"102.565369326","95.834191408",24.5,39.6,"4.34","28.3"
"De La Cruz, Bryan",650559,2024,27,622,27.3,4.7,".233",".271","0.655","10",".242",".283",".302","71.8","89.6",35.6,9.3,6.4,2.9,41.3,"99.848652919","94.22196445",30.1,53.4,"4.53","27.5"
"Tena, José",677588,2024,23,168,24.4,4.2,".267",".298","0.652","1",".254",".286",".305","71.2","91.2",30.8,8.3,4.2,6.7,49.2,"100.972500862","95.33151313",24,50.2,"4.23","28.1"
"Siani, Michael",672279,2024,24,334,27.5,6.3,".228",".285","0.570","2",".205",".257",".243","68.9","84.4",32.6,2.3,2.3,16.1,22.6,"95.786961649","91.898789433",29.5,48.9,"4.3","28.3"
"McGuire, Reese",624512,2024,29,158,24.7,8.2,".209",".280","0.575","4",".222",".259",".282","68.8","84",29.8,6.7,6.7,9.6,26.9,"95.6847612","91.98821798",24.5,45,"4.64","25.5"
"López, Jack",605346,2024,31,71,35.2,2.8,".254",".286","0.629","2",".178",".277",".201","71.2","87.3",32.6,2.3,2.3,4.7,32.6,"97.127505238","92.725670488",33.8,57.3,"4.49","27.6"
"Baker, Luken",663609,2024,27,49,22.4,14.3,".175",".286","0.686","1",".187",".294",".288","73.9","91",32.3,6.5,9.7,0,58.1,"100.841165","95.228791935",33,45.3,,"24.9"
"Rengifo, Luis",650859,2024,27,304,14.5,5.3,".300",".347","0.764","6",".262",".335",".295","69.7","87",30.4,2.5,5,2.1,32.5,"96.9891535","92.548929456",22.3,56.3,"4.37","26.9"
"Wallner, Matt",670242,2024,26,261,36.4,9.2,".259",".372","0.895","2",".234",".385",".358","77.3","92.8",38.1,17.5,10.3,2.4,53.2,"104.61196127","96.920236746",38.4,47.8,"4.33","27.5"
"Volpe, Anthony",683011,2024,23,689,22.6,6.1,".243",".293","0.657","9",".238",".287",".278","69.5","87.7",33.3,3.9,5.6,4.7,35.4,"98.177841555","93.206482989",22.6,48.1,"4.31","28.6"
"Teodosio, Bryce",669326,2024,25,12,41.7,0,".083",".083","0.166","0",".121",".073",".114","68.6","78.9",28.6,0,0,14.3,14.3,"88.9589775","90.009901429",51.9,62.8,,"29.8"
"Bruján, Vidal",660644,2024,26,278,19.4,9,".222",".303","0.622","5",".216",".276",".262","66.9","85.1",29.7,1.5,4.1,7.7,22.6,"95.193229158","91.616436508",24.4,52,"4.37","27.5"
"Senzel, Nick",669222,2024,29,267,22.8,10.5,".195",".283","0.614","6",".229",".273",".298","68.7","84",38.6,5.7,4.5,9.1,26.7,"95.746731264","91.876891724",23.9,47.1,"4.6","27.3"
"Larnach, Trevor",663616,2024,27,400,22.3,10,".259",".338","0.772","12",".259",".336",".345","72.8","92",36.2,10.1,8.6,1.9,45.1,"102.375195821","95.54188573",27.9,44.1,"4.61","26.3"
"Buxton, Byron",621439,2024,30,388,25.5,5.2,".279",".335","0.859","3",".264",".366",".353","74.3","91.7",39.5,13.2,8.5,2.7,48.1,"102.451274806","95.815194845",32.1,54,"4.1","29.7"
"Helman, Michael",680737,2024,28,10,30,0,".300",".300","0.800","0",".116",".339",".114","69.6","86.1",14.3,0,0,0,28.6,"94.059365","91.736257143",33.3,53.6,,"28.5"
