"last_name, first_name","player_id","year","player_age","pa","k_percent","bb_percent","batting_avg","on_base_percent","on_base_plus_slg","b_gnd_into_dp","xba","woba","xwoba","avg_swing_speed","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","poorlyweak_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","hp_to_1b","sprint_speed"
"Bogaerts, Xander",593428,2024,31,463,17.1,6,".264",".307","0.688","13",".262",".300",".305","70.7","88.1",32.1,5.1,3.4,2.8,33.2,"98.125304802","93.133969802",18.3,44.2,"4.41","27.4"
"Heineman, Tyler",623168,2024,33,16,37.5,18.8,".083",".313","0.396","0",".061",".229",".224","67.4","82.8",16.7,0,0,16.7,16.7,"91.14338","90.404898",22.6,50.8,,
"Foscue, Justin",679822,2024,25,44,40.9,4.5,".048",".091","0.162","0",".102",".080",".133","69.9","86.9",29.2,4.2,0,4.2,16.7,"95.952875","92.028248333",28,49.7,,"26.7"
"Delay, Jason",641511,2024,29,19,0,15.8,".200",".333","0.733","0",".195",".324",".275","68.8","83.2",18.8,0,6.3,12.5,18.8,"93.39193125","90.875696667",23.1,52,,"25.7"
"Peguero, Liover",678894,2024,23,10,30,0,".200",".200","0.500","0",".271",".214",".268","69.4","84.4",42.9,0,14.3,0,28.6,"92.7549225","91.915117143",40,54.3,,
"Bryant, Kris",592178,2024,32,155,31,8.4,".218",".323","0.624","6",".211",".287",".290","69.5","85.1",39.5,4.7,3.5,7,30.2,"96.785346744","92.39417314",36.9,47.7,"4.76","25.7"
"Lipscomb III, Trey",702358,2024,24,211,19,7.6,".200",".268","0.500","7",".224",".231",".262","69.8","86.5",23,0.7,3.9,5.3,31.6,"97.923016133","92.984215",25.3,50.8,"4.61","27.5"
"Andujar, Miguel",609280,2024,29,319,13.2,4.1,".285",".320","0.697","10",".265",".306",".286","71.6","86.1",26.1,2.7,3.1,3.8,33.7,"97.864980763","92.955361494",16,50.4,"4.59","26.6"
"Raley, Luke",670042,2024,29,455,29.7,5.9,".243",".320","0.783","2",".220",".339",".316","75","90.1",31.5,11,8.1,7,41.8,"101.696067615","95.042152538",34.5,51.8,"4.31","28.9"
"Frazier, Adam",624428,2024,32,294,20.1,7.5,".202",".282","0.576","0",".238",".261",".286","66.5","84.5",37.9,2.9,4.9,7.8,22.8,"95.005808416","91.560763134",18.8,47,"4.47","26.7"
"Brown, Seth",664913,2024,31,400,28,6.3,".231",".282","0.661","7",".232",".289",".294","73.3","90",35.2,8.4,6.9,4.2,40.6,"100.936577054","94.815981008",29.1,52,"4.56","27.4"
"Díaz, Aledmys",649557,2024,33,34,26.5,2.9,".091",".118","0.209","0",".196",".098",".204","68.9","87.1",16.7,0,0,8.3,33.3,"97.837153333","92.959036667",24.2,56.9,,"27.6"
"Varsho, Daulton",662139,2024,27,513,26.7,9.4,".214",".293","0.700","2",".186",".304",".261","73.7","86.1",30.2,6.2,9,9.9,34,"98.537583503","93.276618121",27,47.6,"4.24","28.5"
"Pham, Tommy",502054,2024,36,478,22.2,7.3,".248",".305","0.673","5",".263",".297",".319","72.7","90.4",32.2,7.2,7.8,2.7,42.7,"101.105935449","94.883209671",22.5,40.5,"4.61","27.2"
"Estrada, Thairo",642731,2024,28,381,19.9,2.6,".217",".247","0.590","8",".226",".256",".263","71","86.2",30.3,4.8,5.9,4.8,31.7,"97.31710125","92.678487456",20.5,51.3,"4.33","28.0"
"Torkelson, Spencer",679529,2024,24,381,27.6,8.7,".219",".295","0.669","6",".209",".295",".283","73.6","89",31.5,6.7,5,2.9,39.7,"99.687498067","94.009349451",26.6,46,"4.6","27.2"
"Rojas, Josh",668942,2024,30,476,22.7,9.7,".225",".304","0.640","6",".223",".286",".293","66.6","88.2",35.6,5.7,7.9,5,38.2,"97.946263631","93.225198599",24.4,45.6,"4.4","27.0"
"Locklear, Tyler",682988,2024,23,49,40.8,6.1,".156",".224","0.535","3",".148",".238",".221","72.3","87.2",28,8,8,4,44,"99.802084615","94.309046",37,51,,"26.5"
"Wilson, Weston",642215,2024,29,98,29.6,8.2,".284",".347","0.836","2",".224",".358",".312","72.3","89.7",35,15,11.7,8.3,50,"101.994087","95.716620847",33.9,45.9,"4.59","28.1"
"Pederson, Joc",592626,2024,32,449,23.4,12.2,".275",".393","0.908","5",".264",".391",".378","73.4","92.3",34.2,12.8,5.6,2.6,46.2,"102.648599462","95.864061892",25,44,"4.56","25.5"
