player_id,player_name,pa,ba,iso,babip,slg,obp,ops,woba,xwoba,xba,launch_speed,whiffs,run_exp,k_percent,bb_percent,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,barrels_total,batter_run_value_per_100,xobp,xslg,swing_miss_percent
805367,"Meidroth, Chase",558,0.293,0.108,0.332,0.4,0.437,0.837,0.378,0.345,0.252,88.6,88,34.05,12.7,18.8,147,33.96226415,2.156334232,1.433691756,8,1.383021933,0.407,0.337,11.6
695657,"Montgomery, Colson",572,0.214,0.167,0.281,0.381,0.327,0.708,0.316,0.31,0.217,85.8,304,-1.933,28.7,11.9,148,34.25925926,7.716049383,4.370629371,25,-0.082571551,0.331,0.354,28.5
693049,"Colas, Oscar",459,0.244,0.155,0.3,0.399,0.325,0.724,0.316,0.291,0.225,89,240,2.087,23.3,10.2,147,42.19269103,5.647840532,3.703703704,17,0.114293538,0.309,0.343,27.2
671284,"Elko, Tim",219,0.289,0.183,0.387,0.472,0.361,0.833,0.362,0.335,0.254,90.6,148,7.229,29.2,9.6,160,45.11278195,11.27819549,6.849315068,15,0.808612975,0.329,0.44,35
691019,"Teel, Kyle",123,0.255,0.088,0.333,0.343,0.374,0.717,0.327,0.314,0.219,86.3,60,2.648,23.6,16.3,131,25.67567568,5.405405405,3.25203252,4,0.503422053,0.347,0.343,27.6
700337,"Quero, Edgar",110,0.295,0.168,0.338,0.463,0.382,0.845,0.368,0.321,0.262,87.3,47,2.797,19.1,11.8,157,30.66666667,4,2.727272727,3,0.644470046,0.355,0.357,22.7
